Running on: DataSet/Early/comp06.ctt

Final Best Fitness: 0
Best Solution (timeslot, room) per course:
c0006: Timeslot=23, Room=B
c0011: Timeslot=20, Room=50
c0018: Timeslot=8, Room=50
c0026: Timeslot=16, Room=G
c0027: Timeslot=20, Room=52
c0046: Timeslot=6, Room=A
c0050: Timeslot=0, Room=38
c0051: Timeslot=22, Room=37
c0059: Timeslot=23, Room=DS1
c0064: Timeslot=12, Room=B
c0073: Timeslot=11, Room=B
c0080: Timeslot=0, Room=27
c0085: Timeslot=19, Room=DS2
c0091: Timeslot=22, Room=L
c0097: Timeslot=11, Room=25
c0099: Timeslot=21, Room=36
c0101: Timeslot=15, Room=F
c0105: Timeslot=7, Room=B
c0109: Timeslot=17, Room=31
c0128: Timeslot=3, Room=A
c0137: Timeslot=5, Room=L
c0142: Timeslot=22, Room=25
c0143: Timeslot=2, Room=G
c0154: Timeslot=10, Room=N
c0180: Timeslot=12, Room=27
c0184: Timeslot=15, Room=B
c0185: Timeslot=17, Room=52
c0600: Timeslot=14, Room=31
c0718: Timeslot=0, Room=37
c0724: Timeslot=11, Room=N
c0793: Timeslot=17, Room=DS2
c0803: Timeslot=18, Room=B
c0806: Timeslot=2, Room=36
c0816: Timeslot=20, Room=25
c0820: Timeslot=10, Room=DS2
c0821: Timeslot=15, Room=36
c0823: Timeslot=15, Room=31
c0824: Timeslot=0, Room=DS2
c0826: Timeslot=20, Room=D
c0189: Timeslot=20, Room=B
c0199: Timeslot=16, Room=A
c0200: Timeslot=9, Room=A
c0202: Timeslot=0, Room=50
c0212: Timeslot=12, Room=37
c0216: Timeslot=3, Room=51
c0220: Timeslot=14, Room=F
c0228: Timeslot=22, Room=31
c0231: Timeslot=11, Room=50
c0243: Timeslot=20, Room=31
c0247: Timeslot=24, Room=N
c0261: Timeslot=4, Room=36
c0281: Timeslot=13, Room=F
c0417: Timeslot=7, Room=31
c0422: Timeslot=21, Room=50
c0427: Timeslot=3, Room=D
c0429: Timeslot=8, Room=G
c0433: Timeslot=18, Room=N
c0439: Timeslot=-1, Room=None
c0440: Timeslot=15, Room=DS1
c0442: Timeslot=19, Room=B
c0446: Timeslot=19, Room=N
c1009: Timeslot=1, Room=G
c1013: Timeslot=11, Room=DS2
c1020: Timeslot=12, Room=DS1
c1023: Timeslot=3, Room=L
c1027: Timeslot=17, Room=50
c1028: Timeslot=8, Room=A
c1031: Timeslot=4, Room=N
c1032: Timeslot=18, Room=50
c1033: Timeslot=21, Room=A
c1034: Timeslot=23, Room=52
c1042: Timeslot=24, Room=G
c0450: Timeslot=2, Room=25
c0452: Timeslot=9, Room=B
c0462: Timeslot=21, Room=31
c0463: Timeslot=2, Room=B
c0474: Timeslot=11, Room=G
c0484: Timeslot=6, Room=27
c0489: Timeslot=7, Room=50
c0495: Timeslot=24, Room=51
c0513: Timeslot=12, Room=31
c0516: Timeslot=2, Room=N
c0519: Timeslot=14, Room=52
c0521: Timeslot=3, Room=25
c0524: Timeslot=16, Room=D
c0533: Timeslot=11, Room=37
c0536: Timeslot=15, Room=G
c0830: Timeslot=14, Room=DS1
c0836: Timeslot=8, Room=L
c0840: Timeslot=18, Room=D
c0846: Timeslot=1, Room=A
c0852: Timeslot=11, Room=L
c0855: Timeslot=21, Room=D
c0881: Timeslot=18, Room=L
c0896: Timeslot=5, Room=36
c0898: Timeslot=18, Room=36
c0935: Timeslot=5, Room=31
c0949: Timeslot=10, Room=B
c0951: Timeslot=18, Room=DS1
c0957: Timeslot=21, Room=27
c0959: Timeslot=11, Room=38
c0961: Timeslot=2, Room=52
c0965: Timeslot=5, Room=B
c1057: Timeslot=14, Room=N
c1058: Timeslot=16, Room=F
c1067: Timeslot=21, Room=DS1
c1068: Timeslot=3, Room=B
c1089: Timeslot=15, Room=50

Total Run Time: 0.049 seconds
