Running on: DataSet/Hidden/comp15.ctt

Final Best Fitness: 0
Best Solution (timeslot, room) per course:
ChiGenAn: Timeslot=2, Room=rDS2
GeoAn: Timeslot=4, Room=rG
CamEleAn: Timeslot=18, Room=rF
FonChiAn: Timeslot=10, Room=r31
IngConAn: Timeslot=21, Room=rG
StrIndAn: Timeslot=23, Room=rDS1
TecCosAn: Timeslot=17, Room=r31
Mat1Cn: Timeslot=6, Room=rB
MecRazCn: Timeslot=3, Room=r27
DisCn: Timeslot=18, Room=rA
TecMatCn: Timeslot=8, Room=rL
ArcTecCn: Timeslot=14, Room=r31
DisEdiCn: Timeslot=20, Room=rE
Idr2Cn: Timeslot=15, Room=rA
Mat1En: Timeslot=1, Room=rDS2
ChiStaEn: Timeslot=15, Room=r36
ConAutEn: Timeslot=15, Room=rG
RetLogEn: Timeslot=4, Room=rD
TeoRetEn: Timeslot=13, Room=rD
ComEleEn: Timeslot=14, Room=rD
EleSis1En: Timeslot=18, Room=r31
MetMatEn: Timeslot=0, Room=rB
RetCal1G1n: Timeslot=9, Room=rL
Mat1G2n: Timeslot=11, Room=r27
ChiG2n: Timeslot=23, Room=r52
DisComEsG2n: Timeslot=2, Room=r50
FonMecG2n: Timeslot=17, Room=r50
TerAppG2n: Timeslot=6, Room=r52
CalProG2n: Timeslot=11, Room=rDS1
Mat1Mn: Timeslot=10, Room=rD
DisIndMn: Timeslot=22, Room=rA
DisIndEsMn: Timeslot=5, Room=rDS1
FluMn: Timeslot=10, Room=r50
ComMecMn: Timeslot=20, Room=r50
CosMacMn: Timeslot=17, Room=r36
TecMec1Mn: Timeslot=5, Room=r38
Mat1Ar: Timeslot=15, Room=r27
FonInfAr: Timeslot=1, Room=rB
LabEle1Ar: Timeslot=17, Room=rDS2
LabEle2Ar: Timeslot=11, Room=rE
LabEle3Ar: Timeslot=13, Room=r36
GeoAppAns: Timeslot=3, Room=r38
IdrNumAns: Timeslot=12, Room=r36
MecSuoAns: Timeslot=15, Room=r31
PriIngAns: Timeslot=24, Room=rE
StaPenAns: Timeslot=24, Room=rA
StaAns: Timeslot=19, Room=r52
ArcTecCns: Timeslot=14, Room=rDS1
EleTel1Ens: Timeslot=21, Room=rF
SisTel1Ens: Timeslot=23, Room=r50
AppIndGns: Timeslot=9, Room=rDS2
RetCal2Gns: Timeslot=6, Room=rF
TecCos1Cv: Timeslot=18, Room=r52
StoArcCv: Timeslot=23, Room=rD
TeoStr1Cv: Timeslot=16, Room=rE
MecCom1Cv: Timeslot=12, Room=r52
ArcComCv: Timeslot=0, Room=r38
CalAut1Cv: Timeslot=10, Room=rL
CosZonCv: Timeslot=6, Room=rDS1
ImpTec1Cv: Timeslot=3, Room=r50
IdrAppCv: Timeslot=7, Room=r31
RivSpeCv: Timeslot=14, Room=r50
CalEle1Ev: Timeslot=22, Room=rDS1
CamEle1Ev: Timeslot=6, Room=r38
EleIndEv: Timeslot=-1, Room=None
GesAziGv: Timeslot=2, Room=rD
ChiInd1Gv: Timeslot=16, Room=rG
OrgPro1Gv: Timeslot=18, Room=r50
Mac1Mv: Timeslot=4, Room=r31
TerAppMv: Timeslot=22, Room=r27
DisAssMv: Timeslot=18, Room=rB
MecVibMn: Timeslot=19, Room=rG

Total Run Time: 0.043 seconds
