Running on: DataSet/Hidden/comp16.ctt

Final Best Fitness: 0
Best Solution (timeslot, room) per course:
c0006: Timeslot=24, Room=rDS2
c0011: Timeslot=9, Room=r52
c0018: Timeslot=3, Room=r27
c0026: Timeslot=2, Room=rN
c0027: Timeslot=4, Room=rG
c0046: Timeslot=17, Room=rDS2
c0050: Timeslot=15, Room=r50
c0051: Timeslot=8, Room=rDS2
c0059: Timeslot=20, Room=rN
c0064: Timeslot=10, Room=rG
c0073: Timeslot=9, Room=r34
c0080: Timeslot=7, Room=r50
c0085: Timeslot=17, Room=r50
c0091: Timeslot=1, Room=r37
c0097: Timeslot=16, Room=r38
c0099: Timeslot=22, Room=rL
c0101: Timeslot=15, Room=r38
c0105: Timeslot=7, Room=rB
c0109: Timeslot=7, Room=r51
c0128: Timeslot=6, Room=rN
c0137: Timeslot=23, Room=rB
c0142: Timeslot=18, Room=rDS1
c0143: Timeslot=6, Room=r36
c0154: Timeslot=7, Room=r25
c0180: Timeslot=24, Room=rL
c0184: Timeslot=4, Room=r52
c0185: Timeslot=3, Room=r36
c0189: Timeslot=4, Room=rEr1
c0199: Timeslot=11, Room=r36
c0200: Timeslot=16, Room=r27
c0202: Timeslot=7, Room=rG
c0212: Timeslot=13, Room=r51
c0215: Timeslot=10, Room=rL
c0216: Timeslot=5, Room=r25
c0220: Timeslot=14, Room=r34
c0228: Timeslot=11, Room=rEr1
c0231: Timeslot=10, Room=rF
c0243: Timeslot=18, Room=rN
c0247: Timeslot=13, Room=rEr1
c0261: Timeslot=8, Room=rF
c0281: Timeslot=0, Room=rF
c0417: Timeslot=10, Room=r25
c0422: Timeslot=13, Room=rB
c0427: Timeslot=12, Room=r37
c0429: Timeslot=10, Room=r50
c0433: Timeslot=19, Room=r36
c0439: Timeslot=21, Room=rDS1
c0440: Timeslot=9, Room=rL
c0442: Timeslot=8, Room=r25
c0446: Timeslot=20, Room=r52
c0450: Timeslot=6, Room=r37
c0452: Timeslot=9, Room=rD
c0462: Timeslot=3, Room=r34
c0463: Timeslot=10, Room=rD
c0474: Timeslot=9, Room=r25
c0484: Timeslot=13, Room=r38
c0495: Timeslot=22, Room=r51
c0513: Timeslot=17, Room=r38
c0516: Timeslot=10, Room=r52
c0524: Timeslot=17, Room=r27
c0519: Timeslot=12, Room=r51
c0533: Timeslot=20, Room=r36
c0536: Timeslot=7, Room=rDS1
c0600: Timeslot=8, Room=rDS1
c0718: Timeslot=10, Room=r27
c0793: Timeslot=4, Room=rDS2
c0803: Timeslot=10, Room=r38
c0806: Timeslot=2, Room=r34
c0816: Timeslot=22, Room=r34
c0820: Timeslot=18, Room=rEr1
c0821: Timeslot=8, Room=rB
c0823: Timeslot=19, Room=r27
c0824: Timeslot=20, Room=r50
c0826: Timeslot=17, Room=r52
c0830: Timeslot=5, Room=r36
c0836: Timeslot=19, Room=r38
c0839: Timeslot=13, Room=rDS2
c0840: Timeslot=21, Room=rB
c0841: Timeslot=18, Room=rEr2
c0846: Timeslot=1, Room=r25
c0848: Timeslot=13, Room=r52
c0852: Timeslot=5, Room=rN
c0855: Timeslot=0, Room=rA
c0857: Timeslot=8, Room=r50
c0881: Timeslot=14, Room=rD
c0896: Timeslot=9, Room=r51
c0899: Timeslot=0, Room=rEr2
c0935: Timeslot=16, Room=r34
c0949: Timeslot=24, Room=r52
c0951: Timeslot=4, Room=r25
c0961: Timeslot=17, Room=rG
c0965: Timeslot=20, Room=rG
c1009: Timeslot=1, Room=r34
c1013: Timeslot=18, Room=r52
c1023: Timeslot=16, Room=rN
c1027: Timeslot=13, Room=r36
c1028: Timeslot=7, Room=r36
c1031: Timeslot=1, Room=rG
c1032: Timeslot=23, Room=r52
c1033: Timeslot=5, Room=r34
c1034: Timeslot=11, Room=r52
c1042: Timeslot=0, Room=r50
c1057: Timeslot=24, Room=rA
c1067: Timeslot=17, Room=rL
c1068: Timeslot=4, Room=r51
c1089: Timeslot=16, Room=rEr1
c1020: Timeslot=5, Room=rD
c1058: Timeslot=17, Room=rEr2

Total Run Time: 0.039 seconds
