Running on: DataSet/Late/comp10.ctt

Final Best Fitness: 0
Best Solution (timeslot, room) per course:
c1001: Timeslot=4, Room=N
c1022: Timeslot=19, Room=31
c0103: Timeslot=21, Room=L
c1053: Timeslot=11, Room=38
c0106: Timeslot=19, Room=G
c0108: Timeslot=18, Room=L
c0110: Timeslot=2, Room=51
c0113: Timeslot=7, Room=G
c0115: Timeslot=2, Room=L
c0118: Timeslot=10, Room=52
c0119: Timeslot=8, Room=27
c0127: Timeslot=7, Room=DS1
c0129: Timeslot=9, Room=38
c0131: Timeslot=4, Room=25
c0132: Timeslot=13, Room=DS1
c0133: Timeslot=13, Room=52
c015a: Timeslot=9, Room=36
c0152: Timeslot=20, Room=27
c0153: Timeslot=16, Room=DS1
c0019: Timeslot=23, Room=36
c0191: Timeslot=15, Room=38
c0193: Timeslot=14, Room=51
c0195: Timeslot=1, Room=F
c0020: Timeslot=21, Room=36
c0201: Timeslot=20, Room=38
c0203: Timeslot=7, Room=37
c0206: Timeslot=2, Room=DS2
c0211: Timeslot=14, Room=52
c0213: Timeslot=15, Room=B
c0217: Timeslot=22, Room=25
c0219: Timeslot=6, Room=B
c0221: Timeslot=0, Room=51
c0225: Timeslot=12, Room=A
c0023: Timeslot=16, Room=N
c0230: Timeslot=24, Room=D
c0232: Timeslot=14, Room=31
c0238: Timeslot=17, Room=F
c0024: Timeslot=7, Room=27
c0252: Timeslot=6, Room=DS1
c0253: Timeslot=1, Room=N
c0257: Timeslot=16, Room=37
c0279: Timeslot=16, Room=50
c0411: Timeslot=21, Room=G
c0412: Timeslot=5, Room=36
c0418: Timeslot=18, Room=F
c0423: Timeslot=13, Room=36
c0428: Timeslot=12, Room=52
c0430: Timeslot=7, Room=31
c0432: Timeslot=23, Room=B
c0044: Timeslot=12, Room=B
c0443: Timeslot=19, Room=37
c0444: Timeslot=19, Room=A
c0449: Timeslot=21, Room=37
c0455: Timeslot=23, Room=52
c0464: Timeslot=14, Room=N
c0467: Timeslot=21, Room=51
c0047: Timeslot=11, Room=27
c0478: Timeslot=19, Room=D
c0479: Timeslot=7, Room=DS2
c0487: Timeslot=18, Room=D
c0049: Timeslot=14, Room=G
c0497: Timeslot=7, Room=38
c0503: Timeslot=19, Room=L
c0504: Timeslot=12, Room=D
c0512: Timeslot=9, Room=51
c0515: Timeslot=17, Room=50
c0520: Timeslot=12, Room=G
c0526: Timeslot=17, Room=DS2
c0530: Timeslot=18, Room=DS2
c0532: Timeslot=-1, Room=None
c0534: Timeslot=18, Room=A
c0535: Timeslot=16, Room=31
c0537: Timeslot=18, Room=DS1
c0538: Timeslot=13, Room=50
c0539: Timeslot=3, Room=B
c0554: Timeslot=13, Room=N
c0056: Timeslot=21, Room=DS1
c0058: Timeslot=11, Room=L
c0602: Timeslot=13, Room=L
c0061: Timeslot=18, Room=50
c0062: Timeslot=17, Room=52
c0069: Timeslot=0, Room=36
c0007: Timeslot=18, Room=51
c0072: Timeslot=18, Room=27
c0723: Timeslot=14, Room=A
c0730: Timeslot=10, Room=L
c0737: Timeslot=13, Room=G
c0074: Timeslot=0, Room=F
c0742: Timeslot=4, Room=51
c0746: Timeslot=0, Room=B
c0076: Timeslot=3, Room=G
c0785: Timeslot=22, Room=A
c0789: Timeslot=12, Room=36
c0794: Timeslot=2, Room=36
c0795: Timeslot=21, Room=F
c0804: Timeslot=10, Room=25
c0807: Timeslot=6, Room=27
c0808: Timeslot=6, Room=25
c0812: Timeslot=6, Room=36
c0822: Timeslot=24, Room=L
c0835: Timeslot=3, Room=DS2
c088a: Timeslot=11, Room=31
c088b: Timeslot=1, Room=A
c0897: Timeslot=14, Room=F
c0009: Timeslot=1, Room=50
c0932: Timeslot=0, Room=A
c0936: Timeslot=22, Room=B
c0095: Timeslot=0, Room=DS2
c0955: Timeslot=9, Room=50
c0963: Timeslot=5, Room=31
c0883: Timeslot=6, Room=F
c0975: Timeslot=8, Room=A
c0980: Timeslot=22, Room=36
c0983: Timeslot=21, Room=DS2
c0998: Timeslot=8, Room=37

Total Run Time: 0.047 seconds
