Running on: DataSet/Scalability/comp09_10.ctt

Final Best Fitness: 0
Best Solution (timeslot, room) per course:
c0000: Timeslot=11, Room=R158
c0001: Timeslot=13, Room=R69
c0002: Timeslot=14, Room=R40
c0003: Timeslot=23, Room=R64
c0004: Timeslot=23, Room=R44
c0005: Timeslot=21, Room=R51
c0006: Timeslot=20, Room=R130
c0007: Timeslot=8, Room=R12
c0008: Timeslot=3, Room=R30
c0009: Timeslot=10, Room=R156
c0010: Timeslot=7, Room=R149
c0011: Timeslot=18, Room=R16
c0012: Timeslot=22, Room=R145
c0013: Timeslot=3, Room=R118
c0014: Timeslot=7, Room=R13
c0015: Timeslot=12, Room=R23
c0016: Timeslot=0, Room=R101
c0017: Timeslot=8, Room=R136
c0018: Timeslot=18, Room=R143
c0019: Timeslot=14, Room=R100
c0020: Timeslot=8, Room=R44
c0021: Timeslot=8, Room=R81
c0022: Timeslot=12, Room=R113
c0023: Timeslot=3, Room=R33
c0024: Timeslot=22, Room=R20
c0025: Timeslot=13, Room=R31
c0026: Timeslot=5, Room=R18
c0027: Timeslot=10, Room=R97
c0028: Timeslot=4, Room=R134
c0029: Timeslot=16, Room=R112
c0030: Timeslot=1, Room=R58
c0031: Timeslot=7, Room=R179
c0032: Timeslot=19, Room=R112
c0033: Timeslot=6, Room=R1
c0034: Timeslot=17, Room=R173
c0035: Timeslot=8, Room=R71
c0036: Timeslot=17, Room=R136
c0037: Timeslot=1, Room=R26
c0038: Timeslot=0, Room=R81
c0039: Timeslot=23, Room=R32
c0040: Timeslot=21, Room=R125
c0041: Timeslot=10, Room=R19
c0042: Timeslot=7, Room=R29
c0043: Timeslot=4, Room=R102
c0044: Timeslot=20, Room=R90
c0045: Timeslot=9, Room=R32
c0046: Timeslot=13, Room=R3
c0047: Timeslot=20, Room=R61
c0048: Timeslot=14, Room=R152
c0049: Timeslot=14, Room=R25
c0050: Timeslot=1, Room=R41
c0051: Timeslot=11, Room=R32
c0052: Timeslot=9, Room=R161
c0053: Timeslot=15, Room=R12
