Running on: DataSet/Scalability/comp16_2.ctt

Final Best Fitness: 0
Best Solution (timeslot, room) per course:
c0000: Timeslot=4, Room=R35
c0001: Timeslot=21, Room=R26
c0002: Timeslot=4, Room=R31
c0003: Timeslot=4, Room=R20
c0004: Timeslot=11, Room=R17
c0005: Timeslot=0, Room=R35
c0006: Timeslot=21, Room=R38
c0007: Timeslot=5, Room=R19
c0008: Timeslot=22, Room=R1
c0009: Timeslot=14, Room=R35
c0010: Timeslot=23, Room=R27
c0011: Timeslot=9, Room=R7
c0012: Timeslot=4, Room=R5
c0013: Timeslot=14, Room=R27
c0014: Timeslot=21, Room=R5
c0015: Timeslot=10, Room=R39
c0016: Timeslot=16, Room=R16
c0017: Timeslot=15, Room=R39
c0018: Timeslot=19, Room=R10
c0019: Timeslot=9, Room=R4
c0020: Timeslot=11, Room=R30
c0021: Timeslot=16, Room=R22
c0022: Timeslot=20, Room=R32
c0023: Timeslot=0, Room=R31
c0024: Timeslot=4, Room=R26
c0025: Timeslot=7, Room=R8
c0026: Timeslot=4, Room=R39
c0027: Timeslot=15, Room=R13
c0028: Timeslot=18, Room=R35
c0029: Timeslot=0, Room=R4
c0030: Timeslot=21, Room=R16
c0031: Timeslot=18, Room=R2
c0032: Timeslot=15, Room=R36
c0033: Timeslot=24, Room=R5
c0034: Timeslot=20, Room=R6
c0035: Timeslot=6, Room=R28
c0036: Timeslot=5, Room=R7
c0037: Timeslot=8, Room=R29
c0038: Timeslot=21, Room=R18
c0039: Timeslot=16, Room=R26
c0040: Timeslot=12, Room=R29
c0041: Timeslot=23, Room=R16
c0042: Timeslot=15, Room=R15
c0043: Timeslot=8, Room=R19
c0044: Timeslot=11, Room=R18
c0045: Timeslot=2, Room=R38
c0046: Timeslot=12, Room=R35
c0047: Timeslot=8, Room=R3
c0048: Timeslot=20, Room=R0
c0049: Timeslot=9, Room=R14
c0050: Timeslot=22, Room=R23
c0051: Timeslot=14, Room=R24
c0052: Timeslot=12, Room=R0
c0053: Timeslot=0, Room=R8
c0054: Timeslot=22, Room=R2
c0055: Timeslot=12, Room=R12
c0056: Timeslot=20, Room=R1
c0057: Timeslot=14, Room=R15
c0058: Timeslot=22, Room=R37
c0059: Timeslot=13, Room=R29
c0060: Timeslot=9, Room=R10
c0061: Timeslot=6, Room=R7
c0062: Timeslot=1, Room=R29
c0063: Timeslot=11, Room=R23
c0064: Timeslot=3, Room=R19
c0065: Timeslot=3, Room=R8
c0066: Timeslot=10, Room=R5
c0067: Timeslot=14, Room=R20
c0068: Timeslot=6, Room=R1
c0069: Timeslot=23, Room=R3
c0070: Timeslot=19, Room=R13
c0071: Timeslot=6, Room=R12
c0072: Timeslot=24, Room=R13
c0073: Timeslot=3, Room=R27
c0074: Timeslot=19, Room=R18
c0075: Timeslot=16, Room=R10
c0076: Timeslot=12, Room=R37
c0077: Timeslot=20, Room=R34
c0078: Timeslot=24, Room=R7
c0079: Timeslot=11, Room=R8
c0080: Timeslot=5, Room=R31
c0081: Timeslot=22, Room=R16
c0082: Timeslot=14, Room=R38
c0083: Timeslot=12, Room=R38
c0084: Timeslot=14, Room=R19
c0085: Timeslot=16, Room=R1
c0086: Timeslot=14, Room=R6
c0087: Timeslot=3, Room=R14
c0088: Timeslot=0, Room=R26
c0089: Timeslot=18, Room=R9
c0090: Timeslot=6, Room=R11
c0091: Timeslot=20, Room=R24
c0092: Timeslot=13, Room=R21
c0093: Timeslot=20, Room=R36
c0094: Timeslot=9, Room=R6
c0095: Timeslot=10, Room=R4
c0096: Timeslot=19, Room=R8
c0097: Timeslot=12, Room=R5
c0098: Timeslot=23, Room=R12
c0099: Timeslot=8, Room=R20
c0100: Timeslot=15, Room=R12
c0101: Timeslot=1, Room=R27
c0102: Timeslot=10, Room=R11
c0103: Timeslot=3, Room=R13
c0104: Timeslot=2, Room=R15
c0105: Timeslot=22, Room=R0
c0106: Timeslot=14, Room=R33
c0107: Timeslot=9, Room=R32
c0108: Timeslot=1, Room=R35
c0109: Timeslot=23, Room=R2
c0110: Timeslot=-1, Room=None
c0111: Timeslot=5, Room=R3
c0112: Timeslot=19, Room=R32
c0113: Timeslot=23, Room=R34
c0114: Timeslot=18, Room=R7
c0115: Timeslot=8, Room=R23
c0116: Timeslot=13, Room=R5
c0117: Timeslot=13, Room=R39
c0118: Timeslot=8, Room=R14
c0119: Timeslot=18, Room=R28
c0120: Timeslot=15, Room=R6
c0121: Timeslot=15, Room=R9
c0122: Timeslot=11, Room=R9
c0123: Timeslot=21, Room=R37
c0124: Timeslot=4, Room=R11
c0125: Timeslot=8, Room=R30
c0126: Timeslot=21, Room=R8
c0127: Timeslot=2, Room=R4
c0128: Timeslot=0, Room=R11
c0129: Timeslot=15, Room=R1
c0130: Timeslot=9, Room=R13
c0131: Timeslot=2, Room=R19
c0132: Timeslot=4, Room=R27
c0133: Timeslot=10, Room=R16
c0134: Timeslot=21, Room=R15
c0135: Timeslot=6, Room=R35
c0136: Timeslot=17, Room=R21
c0137: Timeslot=4, Room=R22
c0138: Timeslot=20, Room=R22
c0139: Timeslot=1, Room=R21
c0140: Timeslot=13, Room=R11
c0141: Timeslot=1, Room=R4
c0142: Timeslot=14, Room=R12
c0143: Timeslot=24, Room=R24
c0144: Timeslot=5, Room=R39
c0145: Timeslot=13, Room=R19
c0146: Timeslot=15, Room=R24
c0147: Timeslot=23, Room=R31
c0148: Timeslot=3, Room=R1
c0149: Timeslot=5, Room=R34
c0150: Timeslot=16, Room=R30
c0151: Timeslot=12, Room=R10
c0152: Timeslot=20, Room=R4
c0153: Timeslot=2, Room=R36
c0154: Timeslot=18, Room=R5
c0155: Timeslot=12, Room=R7
c0156: Timeslot=5, Room=R22
c0157: Timeslot=16, Room=R29
c0158: Timeslot=16, Room=R9
c0159: Timeslot=21, Room=R14
c0160: Timeslot=15, Room=R22
c0161: Timeslot=10, Room=R27
c0162: Timeslot=2, Room=R22
c0163: Timeslot=12, Room=R22
c0164: Timeslot=0, Room=R6
c0165: Timeslot=12, Room=R25
c0166: Timeslot=1, Room=R24
c0167: Timeslot=8, Room=R24
c0168: Timeslot=14, Room=R39
c0169: Timeslot=22, Room=R5
c0170: Timeslot=7, Room=R20
c0171: Timeslot=14, Room=R4
c0172: Timeslot=5, Room=R27
c0173: Timeslot=22, Room=R29
c0174: Timeslot=12, Room=R26
c0175: Timeslot=6, Room=R5
c0176: Timeslot=21, Room=R0
c0177: Timeslot=8, Room=R15
c0178: Timeslot=11, Room=R5
c0179: Timeslot=14, Room=R18
c0180: Timeslot=7, Room=R6
c0181: Timeslot=15, Room=R28
c0182: Timeslot=1, Room=R18
c0183: Timeslot=6, Room=R30
c0184: Timeslot=10, Room=R25
c0185: Timeslot=2, Room=R14
c0186: Timeslot=6, Room=R38
c0187: Timeslot=14, Room=R32
c0188: Timeslot=2, Room=R28
c0189: Timeslot=1, Room=R13
c0190: Timeslot=9, Room=R5
c0191: Timeslot=9, Room=R34
c0192: Timeslot=5, Room=R35
c0193: Timeslot=13, Room=R12
c0194: Timeslot=2, Room=R16
c0195: Timeslot=11, Room=R29
c0196: Timeslot=22, Room=R31
c0197: Timeslot=23, Room=R28
c0198: Timeslot=6, Room=R31
c0199: Timeslot=24, Room=R4
c0200: Timeslot=5, Room=R21
c0201: Timeslot=14, Room=R14
c0202: Timeslot=19, Room=R5
c0203: Timeslot=18, Room=R33
c0204: Timeslot=17, Room=R37
c0205: Timeslot=10, Room=R14
c0206: Timeslot=6, Room=R26
c0207: Timeslot=21, Room=R20
c0208: Timeslot=23, Room=R24
c0209: Timeslot=2, Room=R30
c0210: Timeslot=17, Room=R34
c0211: Timeslot=4, Room=R8
c0212: Timeslot=21, Room=R25
c0213: Timeslot=2, Room=R34
c0214: Timeslot=22, Room=R11
c0215: Timeslot=2, Room=R20

Total Run Time: 0.611 seconds
